record_id,axis_key,value,rationale,derivation_method,baseline_axis_value,reference,note
lumos-skyline-sr-ho-3000k,cct,2700,White CCT variance is declared on the spec sheet CCT multiplier table; the 3000K baseline is LM-79 tested and other CCTs derive from the multiplier table.,manufacturer_lumen_multiplier,3000,spec_sheet_page_9_cct_multiplier_table,Multiplier applied to the measured 3000K total luminous flux (4200 lm).
lumos-skyline-sr-ho-3000k,cct,3000,White CCT variance is declared on the spec sheet CCT multiplier table; the 3000K baseline is LM-79 tested and other CCTs derive from the multiplier table.,manufacturer_lumen_multiplier,3000,spec_sheet_page_9_cct_multiplier_table,Multiplier applied to the measured 3000K total luminous flux (4200 lm).
lumos-skyline-sr-ho-3000k,cct,3500,White CCT variance is declared on the spec sheet CCT multiplier table; the 3000K baseline is LM-79 tested and other CCTs derive from the multiplier table.,manufacturer_lumen_multiplier,3000,spec_sheet_page_9_cct_multiplier_table,Multiplier applied to the measured 3000K total luminous flux (4200 lm).
lumos-skyline-sr-ho-3000k,cct,4000,White CCT variance is declared on the spec sheet CCT multiplier table; the 3000K baseline is LM-79 tested and other CCTs derive from the multiplier table.,manufacturer_lumen_multiplier,3000,spec_sheet_page_9_cct_multiplier_table,Multiplier applied to the measured 3000K total luminous flux (4200 lm).
lumos-skyline-sr-ho-3000k,mounting,1,Mounting variants share the light engine and SR optic; only mechanical attachment changes. Photometrically equivalent.,,,,
lumos-skyline-sr-ho-3000k,mounting,2,Mounting variants share the light engine and SR optic; only mechanical attachment changes. Photometrically equivalent.,,,,
lumos-skyline-sr-ho-3000k,finish,WH,Finish is external powder coat with no photometric effect; BK is the tested finish.,,,,
lumos-skyline-sr-ho-3000k,finish,BK,Finish is external powder coat with no photometric effect; BK is the tested finish.,,,,
lumos-skyline-sr-ho-3000k,finish,BZ,Finish is external powder coat with no photometric effect; BK is the tested finish.,,,,
lumos-skyline-sr-ho-3000k,voltage,120,Regulated constant-current driver renders output independent of input voltage within range.,regulated_driver_voltage_independence,UNV,spec_sheet_page_2_driver_specifications,347V and 480V add a step-down transformer with a ~10 percent input power penalty; output flux is unchanged.
lumos-skyline-sr-ho-3000k,voltage,277,Regulated constant-current driver renders output independent of input voltage within range.,regulated_driver_voltage_independence,UNV,spec_sheet_page_2_driver_specifications,347V and 480V add a step-down transformer with a ~10 percent input power penalty; output flux is unchanged.
lumos-skyline-sr-ho-3000k,voltage,UNV,Regulated constant-current driver renders output independent of input voltage within range.,regulated_driver_voltage_independence,UNV,spec_sheet_page_2_driver_specifications,347V and 480V add a step-down transformer with a ~10 percent input power penalty; output flux is unchanged.
